20000101
2.365,-1.228
-0.196,-7.952
-2.534,-9.896
-2.265,-7.740
-1.628,-4.783
0.609,-7.431
1.058,-5.067
-0.989,-9.036
-2.500,-5.156
-4.407,-7.523
-2.877,-7.935
0.589,-3.924
-1.484,-6.878
-2.211,-4.543
-1.031,-4.294
-4.311,-7.858
-2.934,-5.714
1.520,-4.612
1.412,-5.262
-1.013,-5.648
1.436,-5.713
-0.161,-5.998
-2.619,-8.310
-1.543,-5.454
-5.059,-8.498
-6.557,-15.864
-1.354,-9.733
-1.372,-9.102
-1.609,-7.412
1.464,-3.832
1.660,-0.865
3.072,1.466
4.775,1.483
6.917,3.355
5.817,-1.227
3.447,-2.582
6.889,0.692
8.112,1.884
6.526,3.407
6.838,4.396
7.469,1.661
7.082,-0.514
4.257,0.058
4.831,1.515
8.803,1.922
7.157,0.878
7.091,-0.717
8.125,-0.310
6.065,0.783
6.455,-0.184
6.791,-0.438
7.758,1.313
4.790,-1.008
3.198,-1.085
3.091,-2.469
4.155,-3.110
9.170,-0.277
8.103,-0.433
5.552,-0.522
6.914,-1.282
9.793,-0.422
10.231,-0.642
9.466,3.940
11.143,1.016
7.143,0.693
6.203,-0.477
8.640,-1.660
15.896,1.109
17.403,5.461
14.493,2.139
8.298,-0.094
13.257,2.061
8.165,-0.444
12.281,-0.466
15.253,0.817
8.659,1.583
6.806,-0.408
6.164,0.546
6.237,-1.198
6.600,-1.198
6.499,-1.281
9.275,-1.325
13.311,0.218
16.308,0.902
12.338,4.892
17.102,3.245
18.863,5.125
20.201,8.865
20.686,8.468
20.385,6.698
18.580,7.839
21.602,4.886
18.907,7.844
20.083,6.328
23.740,10.816
25.089,13.324
19.708,9.982
12.394,4.679
13.608,3.385
12.442,2.685
16.631,3.176
12.043,6.511
20.335,2.527
24.528,8.305
26.224,8.293
26.914,11.039
25.929,12.484
27.835,11.563
24.601,10.182
22.044,12.726
18.947,14.223
22.566,13.744
20.765,9.700
22.199,12.935
18.441,13.125
14.847,11.507
19.619,11.876
23.331,11.777
24.201,11.999
25.513,14.054
26.116,14.535
26.782,11.145
19.610,10.628
16.960,5.573
18.536,1.078
22.348,3.870
22.849,4.959
26.396,10.359
23.012,12.892
26.925,8.899
28.989,11.256
31.103,15.976
31.499,13.268
20.853,8.466
23.921,4.647
26.474,11.195
29.455,10.971
30.242,15.557
30.896,11.511
30.184,12.633
30.524,11.988
26.795,14.575
28.064,7.174
26.861,14.591
25.640,12.142
28.304,13.819
31.145,13.466
30.794,12.907
29.977,13.434
30.238,12.631
29.204,13.186
27.390,15.563
25.250,11.924
23.005,9.844
28.996,13.186
31.552,12.638
35.523,15.339
35.657,14.654
39.064,15.112
32.971,16.227
31.300,20.705
30.860,17.050
30.608,13.082
32.635,11.269
37.729,14.243
38.944,18.082
38.735,19.161
36.963,20.724
23.958,11.807
25.398,7.468
24.059,9.399
27.250,11.866
34.498,13.738
36.796,15.223
40.979,19.964
38.673,19.348
39.321,17.517
36.890,17.337
25.552,15.807
27.872,16.984
31.764,11.731
24.696,13.204
32.372,12.356
35.936,16.409
40.000,17.644
43.353,19.661
44.316,22.099
38.306,23.253
35.411,17.382
39.997,17.545
38.696,18.347
32.652,15.912
36.348,13.459
40.822,18.688
29.474,16.420
28.749,13.713
31.459,9.609
29.594,17.176
29.493,19.225
30.902,15.324
27.602,16.629
28.174,12.423
31.205,12.453
29.865,17.876
33.968,18.373
36.166,15.202
40.657,19.739
42.487,23.474
39.535,20.186
35.545,17.690
36.415,20.801
27.896,21.256
27.819,18.398
29.821,14.567
33.020,13.057
34.172,15.269
35.663,14.539
35.850,16.744
35.438,16.852
36.850,16.949
36.043,19.129
35.324,18.572
32.578,19.312
33.423,16.391
32.542,19.845
35.333,17.947
37.577,17.116
35.211,21.541
36.100,18.448
39.416,18.311
39.907,17.930
38.441,17.947
39.617,19.357
39.621,20.032
42.402,18.218
43.540,18.830
31.588,20.910
33.231,16.486
27.091,16.523
23.375,11.918
27.842,12.653
28.163,16.059
29.651,16.728
34.002,13.189
35.473,17.893
31.185,16.673
32.093,13.686
29.017,16.628
17.095,14.327
14.915,12.361
20.948,10.089
24.109,8.442
26.468,10.149
27.106,10.561
23.736,13.193
29.016,14.977
29.797,14.182
29.996,13.849
29.509,14.954
19.739,13.166
25.317,11.970
28.347,14.174
30.625,14.370
29.593,13.476
34.814,15.075
16.954,13.145
14.478,9.452
16.010,7.300
19.477,5.073
18.906,4.934
20.420,6.692
19.718,5.913
19.077,7.265
18.992,8.246
21.373,9.979
22.773,11.921
22.221,14.048
24.930,11.821
22.446,11.458
20.519,9.853
18.594,12.096
15.502,11.524
13.893,8.708
16.941,6.703
21.016,5.477
24.471,8.441
20.740,13.700
17.326,10.474
20.523,7.560
21.380,6.457
19.755,9.055
16.648,8.932
11.810,7.455
13.341,6.591
13.461,5.157
13.295,0.677
13.323,0.490
15.311,0.718
19.218,4.709
20.664,5.240
20.566,6.144
16.468,7.188
14.637,1.902
16.759,3.606
18.791,4.655
18.939,7.093
17.953,7.909
18.889,6.599
18.209,8.040
18.748,7.801
17.229,9.038
16.407,5.271
20.473,7.926
22.504,12.509
20.368,10.592
18.376,8.479
13.732,5.348
14.051,3.682
16.194,3.960
18.005,5.255
17.936,6.490
17.956,4.948
16.228,7.521
14.732,8.285
14.779,5.416
15.588,4.550
13.650,2.225
11.547,1.221
11.571,5.799
12.246,1.824
11.659,5.347
13.312,7.154
8.302,6.307
8.869,2.145
7.213,0.460
7.571,0.327
9.647,2.065
8.228,0.182
7.759,0.212
